Currency,Event
USD,Non-Farm Payrolls
USD,OPEC Meetings
USD,OPEC-JMMC Meetings
USD,Pending Home Sales m/m
USD,Pending Resales
USD,PPI m/m
USD,Prelim GDP Price Index q/q
USD,Prelim GDP q/q
USD,Producer Price Index (PPI)
USD,Retail Sales m/m
USD,Unemployment Claims
USD,Unemployment Rate
USD,WEF Annual Meetings
