Currency,Event
NZD,RBNZ Rate Statement
NZD,SNB Chairman Jordan Speaks
NZD,SNB Monetary Policy Assessment
NZD,SNB Policy Rate
NZD,SNB Press Conference
NZD,Unemployment Rate
NZD,WEF Annual Meetings
NZD,BOJ Gov Kuroda Speaks
NZD,BOJ Press Conference
NZD,CPI q/q
NZD,G20 Meetings
NZD,Inflation Expectations q/q
NZD,Jackson Hole Symposium
NZD,Monetary Policy Statement
NZD,RBNZ Gov Orr Speaks
NZD,WEF Annual Meetings
NZD,30-y Bond Auction
NZD,ADP Non-Farm Employment Change
NZD,CB Consumer Confidence
NZD,Core CPI m/m
NZD,Core PCE Price Index m/m
NZD,Core PPI m/m
NZD,Core Retail Sales m/m
NZD,CPI m/m
NZD,CPI y/y
NZD,Crude Oil Inventories
NZD,Existing Home Sales
NZD,Fed Chair Powell SpeaksOfficial Cash Rate
NZD,Fed Chair Powell Testifies
NZD,Final GDP q/q
NZD,FOMC Member Bostic Speaks
NZD,FOMC Member Bowman Speaks
NZD,FOMC Member Brainard Speaks
NZD,FOMC Member Bullard Speaks
NZD,FOMC Member George Speaks
NZD,FOMC Member Mester Speaks
NZD,FOMC Member Waller Speaks
NZD,Industrial Production m/m
NZD,Inflation Expectations q/q
NZD,ISM Services PMI
NZD,Official Cash Rate
NZD,OPEC-JMMC Meetings
NZD,Philly Fed Manufacturing Index
NZD,PPI m/m
NZD,RBNZ Monetary Policy Statement
NZD,RBNZ Press Conference
NZD,RBNZ Rate Statement
NZD,Retail Sales m/m
NZD,Revised UoM Consumer Sentiment
NZD,Unemployment Claims
NZD,WEF Annual Meetings
USD,10-y Bond Auction
USD,BOC Gov Macklem Speaks
USD,BOC Rate Statement
USD,CB Consumer Confidence
USD,Common CPI y/y
USD,Core CPI m/m
USD,Core Durable Goods Orders m/m
USD,CPI m/m
USD,CPI y/y
USD,Crude Oil Inventories
USD,Durable Goods Orders m/m
USD,Federal Funds Rate
USD,FOMC Economic Projections
USD,FOMC Meeting Minutes
USD,FOMC Member Brainard Speaks
USD,FOMC Member George Speaks
USD,FOMC Member Mester Speaks
USD,FOMC Member Waller Speaks
USD,FOMC Press Conference
USD,FOMC Statement
USD,G20 Meetings
USD,ISM Services PMI
USD,Median CPI y/y
USD,Overnight Rate
USD,Richmond Manufacturing Index
USD,Treasury Currency Report
USD,Treasury Sec Yellen Speaks
USD,Trimmed CPI y/y
USD,Unemployment Claims
USD,WEF Annual Meetings
USD,30-y Bond Auction
USD,Advance GDP Price Index q/q
USD,Advance GDP q/q
USD,Chicago PMI
USD,Core CPI m/m
USD,Core Durable Goods Orders m/m
USD,Core PPI m/m
USD,CPI m/m
USD,CPI y/y
USD,Durable Goods Orders m/m
USD,Federal Funds Rate
USD,Flash Manufacturing PMI
USD,Flash Services PMI
USD,FOMC Economic Projections
USD,FOMC Press Conference
USD,FOMC Statement
USD,G20 Meetings
USD,ISM Services PMI
USD,KOF Economic Barometer
USD,Pending Home Sales m/m
USD,PPI m/m
USD,SNB Chairman Jordan Speaks
USD,SNB Monetary Policy Assessment
USD,SNB Policy Rate
USD,SNB Press Conference
USD,Treasury Sec Yellen Speaks
USD,Unemployment Claims
